순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
1,명량,김한민,빅스톤픽쳐스,,씨제이이엔엠,2014-07-30,개봉영화,장편,한국,"1,587","135,748,398,910",17613682,"33,121,225,810","4,163,666",사극,15세이상관람가,일반영화,"최민식, 류승룡, 조진웅","10072251, 10019065, 10067353","김명곤, 진구, 이정현, 권율, 노민우, 이승준, 오타니 료헤이, 박보검, 김원해, 이해영, 장준녕, 김길동, 김강일, 강태영, 김민석, 박노식, 최덕문, 조복래, 문영동, 이주실, 주석태, 고경표, 김태훈, 한이진, 신유람, 정원준","10004052, 10070417, 10057329, 20175963, 20236729, 10056268, 20113992, 20191126, 20189746, 20164537, 20236946, 20121442, 20237747, 10000912, 20134172, 20126810, 10072168, 20203246, 10026760, 10057435, 20320812, 20136885, 20333032, 20276090, 20346433, 20180711",10006204
2,극한직업,이병헌,"어바웃잇, 영화사 해그림 주식회사, 씨제이이엔엠",,씨제이이엔엠,2019-01-23,개봉영화,장편,한국,"1,978","139,647,979,516",16264944,"31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화,"류승룡, 이하늬, 진선규, 이동휘, 공명","10019065, 20125825, 20137049, 20186095, 20179005","양현민, 장진희, 오정세, 이중옥, 송영규, 신하균, 김의성, 김종수, 허준석","20174970, 20155087, 10050734, 20334136, 10037124, 10040665, 10005383, 20163848, 10088450",20125862
3,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스, 덱스터스튜디오",,롯데쇼핑롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","115,698,654,137",14410754,"27,530,825,087","3,346,172",판타지,12세이상관람가,일반영화,"하정우, 차태현, 주지훈, 김향기, 마동석","10087253, 10071209, 10069179, 10006228, 10021341","김동욱, 도경수, 오달수, 임원희, 장광, 정해균, 김수안, 정지훈, 예수정, 이준혁","10003967, 20209526, 10050151, 10058708, 10060043, 10062378, 20153744, 20235446, 10049950, 20133615",10005151
4,국제시장,윤제균,"제이케이필름, 씨제이이엔엠",,씨제이이엔엠,2014-12-17,개봉영화,장편,한국,966,"110,828,014,630",14245998,"25,842,519,330","3,233,946",드라마,12세이상관람가,일반영화,"황정민, 김윤진, 오달수, 정진영","10090290, 10005297, 10050151, 10062279","장영남, 라미란, 김슬기, 정영기, 맹세창, 박재우, 김재철","10060331, 10013826, 20171140, 10061967, 10025537, 20133283, 20157703",10054492
8,베테랑,류승완,"외유내강, 필름케이",,씨제이이엔엠,2015-08-05,개봉영화,장편,한국,"1,064","105,024,756,250",13395400,"26,766,369,950","3,290,366",액션,15세이상관람가,일반영화,"황정민, 유아인, 유해진, 오달수","10090290, 10053802, 10054128, 10050151","장윤주, 김시후, 오대환, 정웅인, 정만식, 송영창, 진경, 유인영, 박소담, 이동휘, 배성우, 천호진","20211726, 10004860, 20111279, 10062050, 10061699, 10037131, 10070393, 10053902, 20209686, 20186095, 20136191, 10071900",10019069
9,괴물,봉준호,영화사청어람,,쇼박스,2006-07-27,개봉영화,장편,한국,0,0,13019740,0,"3,571,254",SF,12세관람가,일반영화,"송강호, 변희봉, 박해일, 배두나, 고아성","10037018, 10031400, 10029474, 10030016, 10001670","오달수, 박노식, 고수희, 윤제문, 김뢰하, 이재응, 이왕우","10050151, 20126810, 10001662, 10054493, 10004034, 10057221, 20162029",10031641
10,도둑들,최동훈,케이퍼필름,,쇼박스,2012-07-25,개봉영화,장편,한국,"1,072","93,665,568,500",12983330,"26,089,426,500","3,468,906",액션,15세이상관람가,일반영화,"김윤석, 김혜수, 이정재, 전지현, 임달화, 김해숙, 오달수, 김수현, 이심결, 증국상","10005276, 10006380, 10057315, 10061467, 10058502, 10006221, 10050151, 20125794, 10056431, 10069713","최덕문, 최진호, 예수정","10072168, 20134082, 10049950",10072187
11,7번방의 선물,이환경,"화인웍스, 씨엘엔터테인먼트",,넥스트엔터테인먼트월드(NEW),2013-01-23,개봉영화,장편,한국,787,"91,431,914,670",12811206,"22,800,931,670","3,070,053",코미디,15세이상관람가,일반영화,"류승룡, 박신혜, 갈소원, 오달수, 박원상, 김정태, 정만식, 김기천","10019065, 10028892, 20157232, 10050151, 10029013, 10005617, 10061699, 10003728","조덕현, 조재윤, 박길수","10065617, 10066926, 10028517",10058252
12,암살,최동훈,케이퍼필름,,쇼박스,2015-07-22,개봉영화,장편,한국,"1,519","98,463,132,781",12705700,"25,306,651,181","3,155,960",액션,15세이상관람가,일반영화,"전지현, 이정재, 하정우","10061467, 10057315, 10087253","오달수, 조진웅, 이경영, 최덕문, 김의성, 박병은, 김홍파, 진경, 김인우, 심희섭, 허지원, 허정도, 정인겸","10050151, 10067353, 10054755, 10072168, 10005383, 10028660, 20175721, 10070393, 20207886, 20153620, 20234406, 20213266, 10062132",10072187
13,범죄도시 2,이상용,"주식회사 빅펀치픽쳐스, 홍필름, 비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트, 메가박스중앙플러스엠",2022-05-18,개봉영화,장편,한국,"2,498","131,294,002,978",12693023,"29,072,834,869","2,755,769",범죄,15세이상관람가,일반영화,"마동석, 손석구, 최귀화","10021341, 20312856, 20115207","박지환, 허동원, 송하준, 정재광, 남문철, 박지영, 이주원, 음문석, 김찬형, 이규원, 전진오, 이다일, 김영성, 차우진","20110896, 20189148, 20235386, 20281329, 10007518, 20110875, 20217606, 20328732, 20373835, 20377390, 20366677, 20335380, 20332313, 20341009",20066385
15,"광해, 왕이 된 남자",추창민,"리얼라이즈픽쳐스, 씨제이이엔엠",,씨제이이엔엠,2012-09-13,개봉영화,장편,한국,810,"88,900,208,769",12319542,"25,192,804,727","3,355,700",사극,15세이상관람가,일반영화,"이병헌, 류승룡, 한효주, 장광, 김인권, 심은경, 김명곤","10055626, 10019065, 10087820, 10060043, 10005410, 10040874, 10004052","박지아, 이양희, 전국향","10029305, 20127572, 20320876",10072983
16,왕의 남자,이준익,"씨네월드, 이글픽쳐스",,시네마서비스,2005-12-29,개봉영화,장편,한국,0,0,12302831,0,"3,660,842",드라마,15세이상관람가,일반영화,"감우성, 이준기, 유해진, 정진영","10000461, 10057469, 10054128, 10062279","강성연, 이동수, 김주홍, 장항선, 정석용","10000686, 20143414, 20164881, 10060605, 10061811",10057485
17,신과함께-인과 연,김용화,"리얼라이즈픽쳐스, 덱스터스튜디오",,롯데컬처웍스롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235","102,476,768,809",12253247,"22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화,"하정우, 주지훈, 김향기, 마동석, 김동욱","10087253, 10069179, 10006228, 10021341, 10003967","도경수, 이준혁, 정지훈, 김동욱, 조한철, 장광","20209526, 20133615, 20235446, 10003967, 10067417, 10060043",10005151
18,택시운전사,장훈,더램프,,쇼박스,2017-08-02,개봉영화,장편,한국,"1,906","95,284,747,049",12099971,"22,186,916,199","2,729,932",드라마,15세이상관람가,일반영화,"송강호, 토마스 크레취만, 류준열","10037018, 10080533, 20208626","유해진, 박혁권, 최귀화, 이정은, 차순배, 이봉련, 류성현, 허정도","10054128, 10029480, 20115207, 20189363, 20302169, 20328214, 10019055, 20213266",10060674
19,태극기 휘날리며,강제규,강제규필름,,"다자인소프트, 쇼박스",2004-02-05,개봉영화,장편,한국,0,0,11746135,0,"3,509,563",전쟁,15세관람가,일반영화,"장동건, 원빈, 이은주, 조원희, 이장욱, 임성택","10060114, 10052465, 10057024, 10066769, 10057175, 20156355","공형진, 이영란, 정희준, 장민호","10001915, 10056645, 20124730, 10060194",10000854
20,부산행,연상호,영화사레드피터,,넥스트엔터테인먼트월드(NEW),2016-07-20,개봉영화,장편,한국,"1,788","93,175,877,048",11565078,"23,020,827,248","2,754,686",액션,15세이상관람가,일반영화,"공유, 정유미, 마동석, 김수안","10001901, 10062071, 10021341, 20153744","최우식, 안소희, 김의성, 예수정, 박명신","20174763, 10043550, 10005383, 10049950, 10028600",10049814
21,해운대,윤제균,제이케이필름,,CJ ENM,2009-07-22,개봉영화,장편,한국,753,"81,934,638,201",11453338,"21,141,403,500","2,791,508",액션,12세이상관람가,일반영화,"설경구, 하지원, 박중훈, 엄정화","10035772, 10087280, 10029293, 10047352","이민기, 강대규, 김원영, 김유빈, 신정원, 성유경, 박재홍, 나승현, 김재경, 장원준, 임동우, 김정곤, 정종원, 이지애, 최재섭, 장명갑, 지대한, 천보근, 강예원","10055447, 10000533, 10005215, 10005237, 20133172, 20134070, 20134373, 20137672, 20154466, 20155038, 20155473, 20159253, 20159974, 20163360, 10072659, 10060151, 10069842, 20110313, 20066563",10054492
22,변호인,양우석,위더스필름,,넥스트엔터테인먼트월드(NEW),2013-12-18,개봉영화,장편,한국,923,"82,856,578,300",11372451,"22,571,929,000","2,978,688",드라마,15세이상관람가,일반영화,"송강호, 김영애, 오달수, 곽도원, 임시완","10037018, 10004995, 10050151, 20127192, 20171222","송영창, 정원중, 조민기, 이항나, 이성민, 차광수, 한기중, 심희섭, 김동현, 조완기, 차은재","10037131, 10062060, 10065825, 10058031, 20110148, 10071085, 10087396, 20153620, 20069196, 20179942, 20189354",20167784
24,실미도,강우석,시네마서비스,,시네마서비스,2003-12-24,개봉영화,장편,한국,0,0,11081000,0,"3,264,000",전쟁,15세관람가,일반영화,"설경구, 안성기, 허준호, 정재영, 임경호","10035772, 10043371, 10088453, 10062184, 10058468","임원희, 강성진, 강신일, 이도겸, 엄태웅, 김강우, 신성호, 박진수, 김봉식, 김진휘, 윤효석, 이경근, 조민준, 류제승","10058708, 10000692, 10000736, 20237886, 10047367, 10003507, 20131240, 20064130, 20147022, 20125827, 20162821, 20162840, 20308890, 20341054",10000783
26,기생충,봉준호,바른손이앤에이,,씨제이이엔엠,2019-05-30,개봉영화,장편,한국,"1,948","87,459,829,095",10313086,"24,128,560,195","2,790,209",드라마,15세이상관람가,일반영화,"송강호, 이선균, 조여정, 최우식, 박소담, 이정은, 장혜진, 박명훈","10037018, 10055970, 10066680, 20174763, 20209686, 20189363, 20304270, 20279389","현승민, 정현준","20196006, 20326513",10031641
30,검사외전,이일형,"영화사 월광, 사나이픽처스",,쇼박스,2016-02-03,개봉영화,장편,한국,"1,812","77,252,755,264",9699092,"18,302,525,664","2,219,587",범죄,15세이상관람가,일반영화,"황정민, 강동원","10090290, 10000558","이성민, 박성웅, 김응수, 신소율, 주진모, 김원해, 김홍파, 김병옥, 박종환, 전배수, 박지환, 손종학, 김종수, 한재영, 박지환, 이석준, 이선주, 민무제","20110148, 10028773, 10005374, 20111744, 20111954, 20189746, 20175721, 20143806, 20112032, 10061276, 20110896, 20232246, 20163848, 20233528, 20110896, 20067300, 10055983, 10031234",10057103
31,엑시트,이상근,"외유내강, 필름케이",,씨제이이엔엠,2019-07-31,개봉영화,장편,한국,"1,660","79,232,212,162",9426051,"18,533,549,352","2,132,869",코미디,12세이상관람가,일반영화,"조정석, 임윤아, 설도희, 최재영, 고두심, 김환영, 변건우, 황지현, 황효은","20121022, 20224649, 20336480, 20341222, 10001486, 20112166, 20344925, 20318470, 10090425","고두심, 박인환, 김지영, 강기영, 배유람, 유수빈, 정민성, 박성일, 신세휘, 김강훈, 김병순, 김종구, 강기영, 이봉련","10001486, 10029093, 10005839, 20220399, 20111834, 10053754, 10061749, 20112047, 20285090, 20246510, 10004284, 20187990, 20220399, 20328214",20111926
32,관상,한재림,"주피터필름, 쇼박스",,쇼박스,2013-09-11,개봉영화,장편,한국,"1,190","66,005,451,500",9134586,"19,311,179,000","2,561,744",사극,15세이상관람가,일반영화,"송강호, 이정재, 백윤식, 조정석, 이종석, 김혜수","10037018, 10057315, 10030351, 20121022, 20127912, 10006380","이도엽, 김의성","20186076, 10005383",10087712
34,설국열차,봉준호,"모호필름, 오퍼스픽쳐스(유)",,씨제이이엔엠,2013-08-01,개봉영화,장편,한국,"1,128","64,016,480,000",8914845,"18,975,866,000","2,550,437",SF,15세이상관람가,일반영화,"크리스 에반스, 송강호, 에드 해리스, 존 허트, 틸다 스윈튼, 제이미 벨, 옥타비아 스펜서, 이완 브렘너, 고아성, 알리슨 필","10077150, 10037018, 10047586, 10068587, 10081721, 10063545, 20128871, 10056914, 10001670, 10045066",허찬,20187111,10031641
36,수상한 그녀,황동혁,"예인플러스엔터테인먼트, 아이앤코스모스시네와이즈필름",,씨제이이엔엠,2014-01-22,개봉영화,장편,한국,692,"62,696,639,249",8656397,"15,358,810,049","2,042,110",드라마,15세이상관람가,일반영화,"심은경, 나문희, 박인환, 성동일, 이진욱","10040874, 10006877, 10029093, 10035832, 10057628","김현숙, 황정민, 김슬기, 박형우, 진영, 김동희, 한지은, 정인기, 이장유, 하연주, 박혜진","10006273, 20111869, 20171140, 20188519, 20194921, 20196352, 20145277, 10062134, 20281330, 20110314, 20139497",10090050
37,해적: 바다로 간 산적,이석훈,하리마오픽쳐스,,롯데쇼핑롯데엔터테인먼트,2014-08-06,개봉영화,장편,한국,838,"66,240,631,706",8646758,"14,906,345,006","1,868,694",어드벤처,12세이상관람가,일반영화,"김남길, 손예진, 신정근","10003788, 10036883, 10040580","유해진, 이경영, 오달수, 김태우, 박철민, 김원해, 조달환, 조희봉, 정성화, 최진리, 이이경, 권성영, 김재학, 김한준, 안내상, 이대연","10054128, 10054755, 10050151, 10006120, 20110935, 20189746, 10065609, 10067494, 10061861, 10035775, 20124322, 10002402, 20201948, 20135520, 10042972, 10055086",10055965
38,국가대표,김용화,케이엠컬쳐,,쇼박스,2009-07-29,개봉영화,장편,한국,580,"60,896,633,308",8487894,"16,782,332,500","2,213,346",드라마,12세이상관람가,일반영화,"하정우, 성동일, 김지석, 김동욱, 최재환, 이재응, 이은성, 심영","10087253, 10035832, 10005816, 10003967, 10072674, 10057221, 10057001, 10040860","이한위, 이혜숙, 김지영, 쥬니, 황하나","10058024, 10058183, 10005840, 10069674, 20133995",10005151
39,디워,심형래,영구아트,,쇼박스,2007-08-01,개봉영화,장편,한국,0,0,8426973,0,"2,098,438",액션,12세이상관람가,일반영화,"브룩스 아만다, 베어 제이슨","10032578, 10031001",,,10040912
40,백두산,"이해준, 김병서","주식회사 덱스터 픽쳐스, 퍼펙트스톰필름, 씨제이이엔엠",,"씨제이이엔엠, 덱스터스튜디오",2019-12-19,개봉영화,장편,한국,"1,971","69,825,366,300",8252669,"15,055,877,210","1,724,785",어드벤처,12세이상관람가,일반영화,"이병헌, 하정우, 마동석, 전혜진, 배수지","10055626, 10087253, 10021341, 20112423, 20125828","이상원, 옥자연, 한수현, 강신철, 이경영, 조한철, 최광일, 김시아, 임형국, 박주환, 남성준, 김민식, 박지홍, 서현우, 김준원, 남문철, 박성근","20151292, 20333834, 10087533, 10000737, 10054755, 10067417, 10072112, 20308909, 10058918, 20112024, 10007541, 20337519, 20305369, 20221406, 20133493, 10007518, 20157257","10058053, 10004276"
41,과속스캔들,강형철,"토일렛픽쳐스, 디씨지플러스",,롯데쇼핑롯데엔터테인먼트,2008-12-03,개봉영화,장편,한국,405,"53,940,101,534",8245523,"16,515,292,833","2,390,408",코미디,12세이상관람가,일반영화,"차태현, 박보영, 왕석현","10071209, 10028667, 10051543","임지규, 황우슬혜, 정원중, 김기방","10058806, 10090203, 10062060, 10003702",10000946
44,웰컴 투 동막골,박광현,"필름있수다, 쇼박스",,쇼박스,2005-08-04,개봉영화,장편,한국,0,0,8008622,0,"2,435,088",전쟁,12세관람가,일반영화,"신하균, 정재영, 강혜정, 리민","10040665, 10062184, 10000955, 10019501","류덕환, 임하룡, 강남석, 손재영, 이다운, 서재경, 유승목, 심원철","10019043, 10058890, 20129246, 20124103, 20162972, 10035559, 10053771, 10040869",10028469
45,공조,김성훈,"제이케이필름, 씨제이이엔엠, 영화사 이창, 에이치비엔터테인먼트",,씨제이이엔엠,2017-01-18,개봉영화,장편,한국,976,"63,781,731,326",7817446,"14,672,808,676","1,744,624",액션,15세이상관람가,일반영화,"현빈, 유해진, 김주혁, 장영남, 이해영, 임윤아, 이동휘","10088975, 10054128, 10005749, 10060331, 20164537, 20224649, 20186095","박형수, 공정환, 엄효섭, 신현빈","20231468, 10001907, 10047374, 20110901",20128773
47,히말라야,이석훈,제이케이필름,,씨제이이엔엠,2015-12-16,개봉영화,장편,한국,"1,009","60,173,583,015",7759473,"13,920,553,930","1,738,016",드라마,12세이상관람가,일반영화,"황정민, 정우","10090290, 10062023","조성하, 김인권, 라미란, 김원해, 이해영, 전배수, 유선","10065946, 10005410, 10013826, 20189746, 20164537, 10061276, 10053708",10055965
51,밀정,김지운,"다크서클픽쳐스, 워너브러더스 코리아, 영화사하얼빈",,워너브러더스 코리아,2016-09-07,개봉영화,장편,한국,"1,444","61,158,644,831",7487545,"15,436,298,021","1,827,424",액션,15세이상관람가,일반영화,"송강호, 공유","10037018, 10001901","한지민, 츠루미 신고, 엄태구, 신성록, 서영주, 정유안, 이수광, 고준, 최유화, 허성태, 김동영, 곽자형, 조영규","10087751, 10073030, 20111842, 10040416, 20125821, 20250450, 20254159, 20166024, 20124449, 20267189, 10003953, 20147111, 10066689",10005852
52,최종병기 활,김한민,"디씨지플러스, 다세포클럽",,롯데쇼핑롯데엔터테인먼트,2011-08-10,개봉영화,장편,한국,615,"55,808,856,500",7466976,"16,139,541,000","2,059,847",사극,15세이상관람가,일반영화,"박해일, 류승룡, 김무열, 문채원","10029474, 10019065, 10004099, 10026825","이한위, 김구택, 이경영, 박기웅, 이승준, 이재구, 박노식, 이다윗, 전민서, 오타니 료헤이, 문영동","10058024, 10003647, 10054755, 10028507, 10056268, 10057189, 20126810, 10055073, 20171342, 20113992, 10026760",10006204
54,써니,강형철,"알로하픽쳐스, 토일렛픽쳐스",,씨제이이엔엠,2011-05-04,개봉영화,장편,한국,472,"53,773,170,600",7328820,"15,401,904,600","2,004,824",드라마,15세이상관람가,일반영화,"유호정, 심은경, 강소라, 고수희, 홍진희, 김민영, 김선경, 김보미, 이연경, 남보라, 민효린, 조민수","20111253, 10040874, 20112885, 10001662, 10089894, 10004201, 10004502, 20112878, 20112884, 20112888, 20112889, 10065830","박진주, 박영서, 김예원, 천우희, 정원중, 김영옥, 김시후, 김혜옥","20112886, 10028934, 10004866, 20133966, 10062060, 20220846, 10004860, 10006385",10000946
55,화려한 휴가,김지훈,기획시대,,CJ ENM,2007-07-25,개봉영화,장편,한국,0,0,7307993,0,"2,009,666",드라마,12세이상관람가,일반영화,"김상경, 안성기, 이요원, 이준기, 박철민","10004396, 10043371, 10056792, 10057469, 20110935","김하림, 김철기, 이정국, 손병호, 이얼, 엄효섭, 권태원","20136035, 20159293, 20165144, 10036828, 10056603, 10047374, 20143709",10005886
57,한산: 용의 출현,김한민,빅스톤픽쳐스,,롯데컬처웍스롯데엔터테인먼트,2022-07-27,개봉영화,장편,한국,"2,223","73,651,798,381",7257575,"15,967,844,417","1,512,819",액션,12세이상관람가,일반영화,"박해일, 변요한, 안성기, 손현주, 김성규, 김성균, 김향기, 옥택연, 공명, 박지환, 조재윤, 김효주","10029474, 20147110, 10043371, 20111125, 20308770, 20127194, 10006228, 20171680, 20179005, 20110896, 10066926, 10006494","윤제문, 박훈, 윤진영, 김강일, 박재민, 이서준, 김민재, 김재영, 김구택, 손경원, 안성봉, 이운산, 김영웅, 공정환, 배현성, 김대명, 정예훈, 김한민, 이준혁","10054493, 20375655, 20253678, 20237747, 20332943, 20231326, 10004210, 20157197, 10003647, 20346172, 20291839, 20313725, 20196748, 10001907, 20330752, 20385156, 20371194, 10006204, 10057492",10006204
58,1987,장준환,우정필름,,씨제이이엔엠,2017-12-27,개봉영화,장편,한국,"1,299","58,165,581,145",7231638,"14,638,920,495","1,776,877",드라마,15세이상관람가,일반영화,"김윤석, 하정우, 유해진, 김태리, 이희준","10005276, 10087253, 10054128, 20201026, 10058320","박희순, 서현우, 박지환, 이화룡, 이창훈, 김수진, 박경혜, 현봉식, 김승훈, 김경덕","10029595, 20221406, 20110896, 10058237, 20163801, 20196650, 20308369, 20239308, 10004841, 20336216",10060507
59,베를린,류승완,"외유내강, 씨제이이엔엠",,씨제이이엔엠,2013-01-30,개봉영화,장편,한국,894,"52,354,931,637",7166199,"16,070,379,637","2,118,794",액션,15세이상관람가,일반영화,"하정우, 한석규, 류승범, 전지현","10087253, 10087518, 10019067, 10061467","이경영, 최무성, 곽도원, 김서형, 백승익, 배정남","10054755, 10072210, 20127192, 10004466, 20169325, 20127749",10019069
60,마스터,조의석,영화사 집,,씨제이이엔엠,2016-12-21,개봉영화,장편,한국,"1,501","58,067,927,865",7150541,"14,520,299,965","1,731,940",액션,15세이상관람가,일반영화,"이병헌, 강동원, 김우빈","10055626, 10000558, 20170901","엄지원, 박해수, 오달수, 진경, 김정우, 우도환, 배정남, 조현철, 정원중, 주석태","10047357, 20305129, 10050151, 10070393, 20238766, 20310069, 20127749, 20192386, 10062060, 20320812",10066810
61,터널,김성훈,"어나더썬데이, 비에이엔터테인먼트",,쇼박스,2016-08-10,개봉영화,장편,한국,"1,105","57,510,324,417",7118592,"14,121,558,017","1,675,010",드라마,12세이상관람가,일반영화,"하정우, 배두나, 오달수","10087253, 10030016, 10050151","김종수, 조현철","20163848, 20192386",10004662
63,내부자들,우민호,(유)내부자들 문화전문회사,,쇼박스,2015-11-19,개봉영화,장편,한국,"1,075","56,596,582,057",7071763,"16,340,245,357","1,972,885",범죄,청소년관람불가,일반영화,"이병헌, 조승우, 백윤식","10055626, 10066380, 10030351","이경영, 김홍파, 배성우, 조재윤, 김대명, 조우진, 이엘, 정만식, 김병옥, 김의성, 박진우, 남일우","10054755, 20175721, 20136191, 10066926, 20200886, 20134255, 20163035, 10061699, 20143806, 10005383, 20110924, 10007577",20111283
64,인천상륙작전,이재한,태원엔터테인먼트,,씨제이이엔엠,2016-07-27,개봉영화,장편,한국,"1,049","55,101,410,303",7049643,"11,459,996,563","1,427,944",전쟁,12세이상관람가,일반영화,"이정재, 이범수, 리암 니슨","10057315, 10055581, 10019770","진세연, 정준호, 박철민, 김병옥, 이창세, 박정원, 션 리차드, 김희진, 진용욱, 성혁, 길금성","20195689, 10062240, 20110935, 20143806, 20257610, 20134528, 20133997, 20267510, 10070602, 10035895, 10051512",10057235
65,럭키,이계벽,용필름,,쇼박스,2016-10-13,개봉영화,장편,한국,"1,158","56,361,435,256",6965706,"13,812,629,836","1,640,015",코미디,15세이상관람가,일반영화,"유해진, 이준, 조윤희, 임지연","10054128, 20112212, 10066791, 20069387","전혜빈, 이동휘, 고준, 차엽, 이성욱, 정희태, 김민상","10061532, 20186095, 20166024, 10005693, 20313792, 10062493, 20156820",10054784
66,은밀하게 위대하게,장철수,엠씨엠씨,,쇼박스,2013-06-05,개봉영화,장편,한국,"1,341","48,663,939,413",6953800,"12,415,574,413","1,691,014",액션,15세이상관람가,일반영화,"김수현, 박기웅, 이현우, 손현주, 신정근","20125794, 10028507, 20111526, 20111125, 10040580","박혜숙, 김성균, 고창석, 장광, 홍경인, 이채영, 박은빈, 최우식, 이연경, 조영진","20110789, 20127194, 10001779, 10060043, 10089395, 10057696, 20112070, 20174763, 20112884, 10066710",10060556
67,곡성,나홍진,"사이드미러, 이십세기폭스 인터내셔널 프로덕션",,이십세기폭스코리아,2016-05-12,개봉영화,장편,한국,"1,485","55,853,108,382",6878264,"15,445,041,342","1,829,923",미스터리,15세이상관람가,일반영화,"곽도원, 황정민, 쿠니무라 준, 천우희, 김환희","20127192, 10090290, 10076693, 20133966, 20235266","허진, 장소연, 김도윤, 손강국, 전배수, 박성연","10088460, 10060279, 20237646, 20237647, 10061276, 20316382",10007437
68,범죄도시,강윤성,"홍필름, 비에이엔터테인먼트",,"메가박스중앙플러스엠, 키위미디어그룹",2017-10-03,개봉영화,장편,한국,"1,315","56,077,813,249",6851297,"14,046,905,449","1,670,254",범죄,청소년관람불가,일반영화,"마동석, 윤계상, 조재윤, 최귀화, 김성규","10021341, 10054204, 10066926, 20115207, 20308770","유지연, 진선규, 허동원, 박지환, 허성태, 홍기준, 하준","20152472, 20137049, 20189148, 20110896, 20267189, 10089421, 20346872",20135271
69,타짜,최동훈,"싸이더스, 영화사참",,CJ ENM,2006-09-28,개봉영화,장편,한국,0,0,6847777,0,"2,091,058",드라마,18세관람가,일반영화,"조승우, 김혜수, 백윤식, 유해진, 이수경","10066380, 10006380, 10030351, 10054128, 10056133","김응수, 김상호, 김윤석, 주진모, 김정난, 조상건, 서동수, 백도빈, 김민경, 오정세, 장원영, 권태원","10005374, 10004448, 10005276, 20111954, 10005552, 10065876, 10035365, 10030280, 10004169, 10050734, 20113281, 20143709",10072187
70,"좋은 놈, 나쁜 놈, 이상한 놈",김지운,"다크서클픽쳐스, 바른손이앤에이",,CJ ENM,2008-07-17,개봉영화,장편,한국,825,"43,768,628,939",6686912,"13,860,913,000","2,012,173",서부극(웨스턴),15세이상관람가,일반영화,"송강호, 이병헌, 정우성, 엄지원, 오일용","10037018, 10055626, 10062025, 10047357, 20354652","오달수, 김광일, 손병호, 이청아, 김선영, 성정훈, 송승현, 신상우, 조화성, 박광복, 송영창, 윤영우, 정성우, 양명헌, 윤제문, 류승수","10050151, 10003626, 10036828, 10057730, 20166424, 20123086, 20125010, 20130946, 10067479, 20150541, 10037131, 20155454, 20158203, 20133564, 10054493, 10019068",10005852
71,늑대소년,조성희,영화사비단길,,씨제이이엔엠,2012-10-31,개봉영화,장편,한국,706,"46,593,107,500",6654837,"12,336,313,500","1,677,173",멜로/로맨스,15세이상관람가,일반영화,"송중기, 박보영","10037229, 10028667","장영남, 유연석, 김향기, 장서이, 이영란, 유승목, 서동수, 남정희","10060331, 20111976, 10006228, 20179448, 10056645, 10053771, 10035365, 10007583",10065952
72,미녀는 괴로워,김용화,"리얼라이즈픽쳐스, 케이엠컬쳐",,쇼박스,2006-12-14,개봉영화,장편,한국,0,0,6619498,0,"1,934,910",멜로/로맨스,12세이상관람가,일반영화,"김아중, 주진모","10004885, 10069182","김현숙, 조아영, 이보라, 박노식, 이한위","10006273, 20132407, 20150003, 20126810, 10058024",10005151
73,군함도,류승완,"외유내강, 필름케이",,씨제이이엔엠,2017-07-26,개봉영화,장편,한국,"2,027","50,510,565,168",6592151,"11,091,878,868","1,398,649",액션,15세이상관람가,일반영화,"황정민, 소지섭, 송중기, 이정현, 김수안","10090290, 10036685, 10037229, 10057329, 20153744","이경영, 장성범, 백승철, 윤경호, 김인우","10054755, 20307169, 20142702, 20277349, 20207886",10019069
76,아저씨,이정범,오퍼스픽쳐스(유),,CJ ENM,2010-08-04,개봉영화,장편,한국,478,"47,870,792,359",6282774,"14,820,865,000","1,863,328",액션,청소년관람불가,일반영화,"원빈, 김새론","10052465, 10004452","김희원, 김성오, 김호연, 김효서, 조영아, 이상하, 남경읍, 송영창, 이종필, 김태훈","10006545, 20111894, 20166713, 20125466, 20132965, 20151661, 10007481, 10037131, 10057407, 20333032",10057273
77,사도,이준익,타이거픽쳐스,,쇼박스,2015-09-16,개봉영화,장편,한국,"1,210","48,842,902,501",6246849,"12,987,928,301","1,606,486",사극,12세이상관람가,일반영화,"송강호, 유아인, 문근영","10037018, 10053802, 10026674","전혜진, 김해숙, 박원상, 진지희, 박소담, 서예지, 김민규, 이대연, 최덕문, 정석용, 최민철, 조승연, 박명신","20112423, 10006221, 10029013, 10070678, 20209686, 20207266, 20169005, 10055086, 10072168, 10061811, 10072255, 20132305, 10028600",10057485
