순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
1225,점박이 한반도의 공룡2 : 새로운 낙원,한상호,드림써치C&C,,넥스트엔터테인먼트월드(NEW),2018-12-25,개봉영화,장편,한국,672,"4,293,073,300",550059,"692,247,500","85,793",애니메이션,전체관람가,일반영화,"박희순, 라미란, 김성균","10029595, 10013826, 20127194","박중금, 장유화","20313412, 20365060",20312035
1226,하류인생,임권택,태흥영화,,시네마서비스,2004-05-21,개봉영화,장편,한국,0,0,550000,0,"196,000",액션,15세관람가,독립/예술영화,"조승우, 김규리","10066380, 20112163","이주원, 김봉수, 문정희","10057447, 20113248, 10026802",10058483
1227,사랑 따윈 필요 없어,이철하,"싸이더스, 판커뮤니케이션, 씨네클릭 아시아(팬텀)",,쇼박스,2006-11-09,개봉영화,장편,한국,0,0,548998,0,"164,857",멜로/로맨스,15세관람가,일반영화,"문근영, 김주혁","10026674, 10005749","도지원, 이기영, 조상건, 진구, 서현진","10012858, 20122862, 10065876, 10070417, 10035681",10057717
1231,어깨동무,조진규,씨케이픽쳐스,,CJ ENM,2004-03-12,개봉영화,장편,한국,0,0,545735,0,"127,023",코미디,15세관람가,일반영화,"김아중, 이성진, 이문식, 유동근","10004885, 20111512, 10055401, 10053579","최령, 박예리, 박정률, 배정아, 강호동, 김경용, 김무생","20233266, 20122725, 10029157, 20142063, 20145459, 20145715, 10004096",10067346
1232,가발,원신연,코리아 엔터테인먼트,,CJ ENM,2005-08-12,개봉영화,장편,한국,0,0,545591,0,"131,672",공포(호러),15세관람가,일반영화,"방중현, 채민서, 유선, 이윤희","10026736, 10071672, 10053708, 20164139","류현민, 서현선, 진용욱","20145129, 20146501, 10070602",20111284
1233,호로비츠를 위하여,권형진,싸이더스,,쇼박스,2006-05-25,개봉영화,장편,한국,0,0,544656,0,"185,978",드라마,전체관람가,일반영화,"엄정화, 박용우, 신의재","10047352, 10028989, 10040550","김호연, 이명숙, 최윤선 , 조미애, 김현영, 정인기","20166713, 20111368, 10072581, 20130376, 20134617, 10062134",10002567
1234,청연,윤종찬,코리아픽쳐스,,코리아픽쳐스,2005-12-29,개봉영화,장편,한국,0,0,543597,0,"210,093",드라마,12세관람가,일반영화,"장진영, 김주혁","10060538, 10005749","한지민, 나카무라 토오루, 진태현","10087751, 10007181, 10006144",10054502
1236,사랑방 선수와 어머니,임영성,"태원엔터테인먼트, 아이비픽쳐스, 올리브나인",,롯데쇼핑롯데엔터테인먼트,2007-08-08,개봉영화,장편,한국,0,0,541236,0,"123,857",코미디,12세이상관람가,일반영화,"정준호, 김원희, 고은아, 김지영","10062240, 10005223, 10001724, 10005840",정혜영,20123910,10058676
1237,너는 펫,김병곤,컴어나더,,롯데쇼핑롯데엔터테인먼트,2011-11-10,개봉영화,장편,한국,341,"3,798,398,000",540972,"1,097,757,500","148,666",멜로/로맨스,12세이상관람가,일반영화,"장근석, 김하늘","10060065, 10006171","최종훈, 고나은, 정유미, 이진희, 강하늘","20132912, 20133853, 10062072, 20131590, 20111688",10004266
1238,"그날, 바다",김지영,프로젝트 부,,엣나인필름,2018-04-12,개봉영화,장편,한국,611,"4,445,554,528",540558,"1,157,399,300","136,574",다큐멘터리,15세이상관람가,독립/예술영화,"정우성, 김지영","10062025, 20302876","이주용, 장동원, 박종대, 김도연, 김도영, 김어준","20247140, 20316509, 20316858, 10003902, 20147779, 20294287",20302876
